time,turn,box,behind,grade,comments,distance,raceDate,dogName,start,schedule,weight,raceNumber,track,stretch,finish
30.9,1,6,2.0,M,Always In Front-inside,550,2018-02-02,Braska Daylon,1,A,79.0,1,DerbyLane,1,1
31.03,2,2,2.0,M,Early Gain Rail-placed,550,2018-02-02,Gr's Jade,6,A,66.0,1,DerbyLane,2,2
31.41,3,8,7.0,M,Gain To Stretch-showed,550,2018-02-02,Vj Super Hero,5,A,69.0,1,DerbyLane,4,3
31.53,4,7,9.0,M,Early Gain Rail-crowde,550,2018-02-02,So Dominating,8,A,69.0,1,DerbyLane,3,4
31.55,6,4,9.0,M,Crowded Erly-bumped 1s,550,2018-02-02,Kentucky Marilyn,3,A,58.5,1,DerbyLane,6,5
31.65,5,3,10.0,M,Blocked 1st Turn-bumpe,550,2018-02-02,Kb's Zabeel,2,A,60.5,1,DerbyLane,5,6
31.66,7,1,10.0,M,Shut Off Early-blocked,550,2018-02-02,Rs Tear Drop,7,A,55.0,1,DerbyLane,8,7
31.91,8,5,14.0,M,Shuffled Back 1st Turn,550,2018-02-02,Pj Blastofdapast,4,A,55.5,1,DerbyLane,7,8
37.41,1,3,8.0,D,Extending Lead-inside,660,2018-02-02,Jj's Quigly,2,A,70.5,2,DerbyLane,1,1
37.98,2,5,8.0,D,Closest Threat-inside,660,2018-02-02,Yolo El Rocio,3,A,71.5,2,DerbyLane,2,2
38.09,3,6,10.0,D,Ignored Erly Bump-shwd,660,2018-02-02,Air Waves,7,A,65.0,2,DerbyLane,3,3
38.39,5,2,14.0,D,Sought Rail Early-crwd,660,2018-02-02,Ctw Ann Margaret,5,A,68.5,2,DerbyLane,5,4
38.49,4,7,15.0,D,Bumped Wide Early-outs,660,2018-02-02,Flying Churchill,6,A,77.5,2,DerbyLane,4,5
38.7,6,8,18.0,D,Slow Start-crowded-ins,660,2018-02-02,Ww Table Turns,8,A,65.0,2,DerbyLane,7,6
38.94,7,1,21.0,D,Close Qtrs Early-insid,660,2018-02-02,Vj Strikethepose,4,A,75.0,2,DerbyLane,6,7
91.0,8,4,0.0,D,Quick Start-bumped-fad,660,2018-02-02,Paulding County,1,A,57.5,2,DerbyLane,8,8
31.17,2,6,0.5,M,Determined Win-midtrac,550,2018-02-02,Barts Ocean,4,A,60.5,3,DerbyLane,2,1
31.21,1,4,0.5,M,No Muzzle-held Place-r,550,2018-02-02,Ww Stubby Jimmy,1,A,75.5,3,DerbyLane,1,2
31.62,5,3,6.5,M,Stretch Gain-showed-in,550,2018-02-02,Jiminy Dribble,5,A,64.0,3,DerbyLane,5,3
31.65,3,1,7.0,M,Early Gain Inside-crwd,550,2018-02-02,Lagro Jake,8,A,78.0,3,DerbyLane,3,4
31.81,4,2,9.0,M,Blocked-bumped 1st Tn,550,2018-02-02,Pj Go Diego Go,7,A,72.5,3,DerbyLane,4,5
31.88,6,7,10.0,M,Swung Wide Both Turns,550,2018-02-02,Figfin Deena,3,A,60.5,3,DerbyLane,6,6
31.98,7,5,11.0,M,Clipped 1st Turn-midtr,550,2018-02-02,Ww Congo,2,A,64.0,3,DerbyLane,7,7
32.42,8,8,17.0,M,Shut Off 1st Turn-fade,550,2018-02-02,Tmc's Onlymoney,6,A,64.0,3,DerbyLane,8,8
30.73,2,8,2.5,B,Pulling Away-inside,550,2018-02-02,Mega Gandalfette,2,A,65.0,4,DerbyLane,2,1
30.9,1,1,2.5,B,Led To Stretch-placed-,550,2018-02-02,Jack's Easypeasy,1,A,65.0,4,DerbyLane,1,2
30.98,3,7,3.5,B,Evenly To Show-midtrk,550,2018-02-02,Pj Comehometome,3,A,60.0,4,DerbyLane,3,3
31.03,4,4,4.0,B,Cut In Early-gained,550,2018-02-02,Se's Magic Alert,8,A,67.0,4,DerbyLane,4,4
30.84,1,4,4.5,M,Led All The Way-outsid,550,2018-02-02,Pj Riding Dirty,1,E,69.5,1,DerbyLane,1,1
31.15,2,8,4.5,M,Maintained Position-in,550,2018-02-02,Pj Gettin Jiggy,2,E,59.5,1,DerbyLane,2,2
31.47,3,2,9.0,M,Gain To Stretch-inside,550,2018-02-02,Pj Floatyourboat,8,E,58.5,1,DerbyLane,6,3
